sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttH,Weight_scale_variation_muR_1p0_muF_1p0,0.999992609,0.999992609,-1,-1,-1,-1,0.999992609
ttH,Weight_scale_variation_muR_2p0_muF_1p0,1.223938438,1.223938438,-1,-1,-1,-1,1.223938438
ttH,Weight_scale_variation_muR_2p0_muF_2p0,1.25017124,1.25017124,-1,-1,-1,-1,1.25017124
ttH,Weight_scale_variation_muR_0p5_muF_1p0,0.708289847,0.708289847,-1,-1,-1,-1,0.708289847
ttH,Weight_scale_variation_muR_0p5_muF_0p5,0.687277625,0.687277625,-1,-1,-1,-1,0.687277625
ttH,Weight_scale_variation_muR_1p0_muF_2p0,1.01898599,1.01898599,-1,-1,-1,-1,1.01898599
ttH,Weight_scale_variation_muR_1p0_muF_0p5,0.975451193,0.975451193,-1,-1,-1,-1,0.975451193
ttH,Weight_LHA_306000_nominal,0.999992609,0.999992609,-1,-1,-1,-1,0.999992609
ttH,Weight_LHA_306000_up,0.952574629,0.952574629,-1,-1,-1,-1,0.952574629
ttH,Weight_LHA_306000_down,1.052378712,1.052378712,-1,-1,-1,-1,1.052378712
ttH,Weight_pdf_variation_306000,0.999992609,0.999992609,-1,-1,-1,-1,0.999992609
ttH,Weight_pdf_variation_306001,1.000811485,1.000811485,-1,-1,-1,-1,1.000811485
ttH,Weight_pdf_variation_306002,0.999538312,0.999538312,-1,-1,-1,-1,0.999538312
ttH,Weight_pdf_variation_306003,1.00041343,1.00041343,-1,-1,-1,-1,1.00041343
ttH,Weight_pdf_variation_306004,0.997602276,0.997602276,-1,-1,-1,-1,0.997602276
ttH,Weight_pdf_variation_306005,0.999921826,0.999921826,-1,-1,-1,-1,0.999921826
ttH,Weight_pdf_variation_306006,1.001686093,1.001686093,-1,-1,-1,-1,1.001686093
ttH,Weight_pdf_variation_306007,1.000271302,1.000271302,-1,-1,-1,-1,1.000271302
ttH,Weight_pdf_variation_306008,1.00141092,1.00141092,-1,-1,-1,-1,1.00141092
ttH,Weight_pdf_variation_306009,0.997657546,0.997657546,-1,-1,-1,-1,0.997657546
ttH,Weight_pdf_variation_306010,1.001196012,1.001196012,-1,-1,-1,-1,1.001196012
ttH,Weight_pdf_variation_306011,1.003578139,1.003578139,-1,-1,-1,-1,1.003578139
ttH,Weight_pdf_variation_306012,1.000723559,1.000723559,-1,-1,-1,-1,1.000723559
ttH,Weight_pdf_variation_306013,1.00380021,1.00380021,-1,-1,-1,-1,1.00380021
ttH,Weight_pdf_variation_306014,0.999361146,0.999361146,-1,-1,-1,-1,0.999361146
ttH,Weight_pdf_variation_306015,0.999989284,0.999989284,-1,-1,-1,-1,0.999989284
ttH,Weight_pdf_variation_306016,0.997400801,0.997400801,-1,-1,-1,-1,0.997400801
ttH,Weight_pdf_variation_306017,1.001032492,1.001032492,-1,-1,-1,-1,1.001032492
ttH,Weight_pdf_variation_306018,1.002009802,1.002009802,-1,-1,-1,-1,1.002009802
ttH,Weight_pdf_variation_306019,0.99947105,0.99947105,-1,-1,-1,-1,0.99947105
ttH,Weight_pdf_variation_306020,1.000681873,1.000681873,-1,-1,-1,-1,1.000681873
ttH,Weight_pdf_variation_306021,0.998359738,0.998359738,-1,-1,-1,-1,0.998359738
ttH,Weight_pdf_variation_306022,1.000456983,1.000456983,-1,-1,-1,-1,1.000456983
ttH,Weight_pdf_variation_306023,1.000301286,1.000301286,-1,-1,-1,-1,1.000301286
ttH,Weight_pdf_variation_306024,1.001677497,1.001677497,-1,-1,-1,-1,1.001677497
ttH,Weight_pdf_variation_306025,0.999988833,0.999988833,-1,-1,-1,-1,0.999988833
ttH,Weight_pdf_variation_306026,0.999744112,0.999744112,-1,-1,-1,-1,0.999744112
ttH,Weight_pdf_variation_306027,1.001103243,1.001103243,-1,-1,-1,-1,1.001103243
ttH,Weight_pdf_variation_306028,1.000985078,1.000985078,-1,-1,-1,-1,1.000985078
ttH,Weight_pdf_variation_306029,0.996118273,0.996118273,-1,-1,-1,-1,0.996118273
ttH,Weight_pdf_variation_306030,1.001003107,1.001003107,-1,-1,-1,-1,1.001003107
ttH,Weight_pdf_variation_306031,0.998848353,0.998848353,-1,-1,-1,-1,0.998848353
ttH,Weight_pdf_variation_306032,0.998797257,0.998797257,-1,-1,-1,-1,0.998797257
ttH,Weight_pdf_variation_306033,0.99892871,0.99892871,-1,-1,-1,-1,0.99892871
ttH,Weight_pdf_variation_306034,0.999685939,0.999685939,-1,-1,-1,-1,0.999685939
ttH,Weight_pdf_variation_306035,0.998672626,0.998672626,-1,-1,-1,-1,0.998672626
ttH,Weight_pdf_variation_306036,0.99997176,0.99997176,-1,-1,-1,-1,0.99997176
ttH,Weight_pdf_variation_306037,0.999885696,0.999885696,-1,-1,-1,-1,0.999885696
ttH,Weight_pdf_variation_306038,0.999057097,0.999057097,-1,-1,-1,-1,0.999057097
ttH,Weight_pdf_variation_306039,1.000690432,1.000690432,-1,-1,-1,-1,1.000690432
ttH,Weight_pdf_variation_306040,0.999740581,0.999740581,-1,-1,-1,-1,0.999740581
ttH,Weight_pdf_variation_306041,1.000334817,1.000334817,-1,-1,-1,-1,1.000334817
ttH,Weight_pdf_variation_306042,1.001160977,1.001160977,-1,-1,-1,-1,1.001160977
ttH,Weight_pdf_variation_306043,0.999993871,0.999993871,-1,-1,-1,-1,0.999993871
ttH,Weight_pdf_variation_306044,0.999006238,0.999006238,-1,-1,-1,-1,0.999006238
ttH,Weight_pdf_variation_306045,1.000535236,1.000535236,-1,-1,-1,-1,1.000535236
ttH,Weight_pdf_variation_306046,0.999130534,0.999130534,-1,-1,-1,-1,0.999130534
ttH,Weight_pdf_variation_306047,0.999535393,0.999535393,-1,-1,-1,-1,0.999535393
ttH,Weight_pdf_variation_306048,1.000800553,1.000800553,-1,-1,-1,-1,1.000800553
ttH,Weight_pdf_variation_306049,1.000339397,1.000339397,-1,-1,-1,-1,1.000339397
ttH,Weight_pdf_variation_306050,0.999712591,0.999712591,-1,-1,-1,-1,0.999712591
ttH,Weight_pdf_variation_306051,0.999284452,0.999284452,-1,-1,-1,-1,0.999284452
ttH,Weight_pdf_variation_306052,1.000611725,1.000611725,-1,-1,-1,-1,1.000611725
ttH,Weight_pdf_variation_306053,0.999760519,0.999760519,-1,-1,-1,-1,0.999760519
ttH,Weight_pdf_variation_306054,0.999477338,0.999477338,-1,-1,-1,-1,0.999477338
ttH,Weight_pdf_variation_306055,0.999753935,0.999753935,-1,-1,-1,-1,0.999753935
ttH,Weight_pdf_variation_306056,0.99986731,0.99986731,-1,-1,-1,-1,0.99986731
ttH,Weight_pdf_variation_306057,1.000019747,1.000019747,-1,-1,-1,-1,1.000019747
