Uncertainty,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ,ttbar
CMS_l1_ecal_prefiring,1,1,1,1,1,1,1,1,1,1
CMS_btag_lf,1,1,1,1,1,1,1,1,1,1
CMS_btag_hf,1,1,1,1,1,1,1,1,1,1
CMS_btag_cferr1,1,1,1,1,1,1,1,1,1,1
CMS_btag_cferr2,1,1,1,1,1,1,1,1,1,1
CMS_scale_j,1,1,1,1,1,1,1,1,1,1
CMS_pileup_13TeV,1,1,1,1,1,1,1,1,1,1
CMS_FSR_ttH,-,-,-,-,-,1,-,-,-,-
CMS_ISR_ttH,-,-,-,-,-,1,-,-,-,-
CMS_ISR_ttcc,-,1,1,-,1,-,-,-,-,1
CMS_ISR_ttlf,-,1,1,-,1,-,-,-,-,1
CMS_FSR_ttcc,-,1,1,-,1,-,-,-,-,1
CMS_FSR_ttlf,-,1,1,-,1,-,-,-,-,1
CMS_FSR_ttbb,-,1,1,-,1,-,-,-,-,1
CMS_ISR_ttbb,-,1,1,-,1,-,-,-,-,1
CMS_PDF,-,1,1,-,,1,-,-,-,1
CMS_scaleMuR,-,1,1,-,1,-,-,-,-,1
CMS_scaleMuR_ttbbNLO,-,1,1,-,1,-,-,-,-,1
CMS_scaleMuR_ttH,-,-,-,-,-,1,-,-,-,-
CMS_scaleMuF,-,1,1,-,1,-,-,-,-,1
CMS_scaleMuF_ttbbNLO,-,1,1,-,1,-,-,-,-,1
CMS_scaleMuF_ttH,-,-,-,-,-,1,-,-,-,-
CMS_eff_m,1,1,1,1,1,1,1,1,1,1
CMS_eff_e,1,1,1,1,1,1,1,1,1,1
