Uncertainty,Type,ttHH,ttbar,ttH,ttZZ,ttZH,ttZ
lumi_13TeV,lnN,1.025,1.025,1.025,1.025,1.025,1.025
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-
QCDscale_ttH,lnN,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-
pdf_gg,lnN,-,1.042,-,1.026,1.03,1.028
CMS_eff_m_trigger_2018,shape,1,1,1,1,1,1
CMS_eff_e_trigger_2018,shape,1,1,1,1,1,1
CMS_eff_m,shape,1,1,1,1,1,1
CMS_eff_e,shape,1,1,1,1,1,1
CMS_btag_lf,shape,1,1,1,1,1,1
CMS_btag_hf,shape,1,1,1,1,1,1
CMS_btag_hfstats1_2018,shape,1,1,1,1,1,1
CMS_btag_hfstats2_2018,shape,1,1,1,1,1,1
CMS_btag_lfstats1_2018,shape,1,1,1,1,1,1
CMS_btag_lfstats2_2018,shape,1,1,1,1,1,1
CMS_btag_cferr1,shape,1,1,1,1,1,1
CMS_btag_cferr2,shape,1,1,1,1,1,1
CMS_pileup_13TeV,shape,1,1,1,1,1,1
CMS_scale_j,shape,1,1,1,1,1,1
CMS_res_j_2018,shape,1,1,1,1,1,1
CMS_PDF,shape,-,1,1,-,-,-
CMS_scaleMuR,shape,-,1,-,-,-,-
CMS_scaleMuR_ttbbNLO,shape,-,1,-,-,-,-
CMS_scaleMuR_ttH,shape,-,-,1,-,-,-
CMS_scaleMuF,shape,-,1,-,-,-,-
CMS_scaleMuF_ttbbNLO,shape,-,1,-,-,-,-
CMS_scaleMuF_ttH,shape,-,-,1,-,-,-
CMS_FSR_ttH,shape,-,-,1,-,-,-
CMS_ISR_ttH,shape,-,-,1,-,-,-
CMS_ISR_ttcc,shape,-,1,-,-,-,-
CMS_ISR_ttlf,shape,-,1,-,-,-,-
CMS_FSR_ttcc,shape,-,1,-,-,-,-
CMS_FSR_ttlf,shape,-,1,-,-,-,-
CMS_FSR_ttbb,shape,-,1,-,-,-,-
CMS_ISR_ttbb,shape,-,1,-,-,-,-
