Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.988/1.010,0.9544/1.0457,0.9586/1.0420,0.9744/1.019,0.9610/1.0383,0.9748/1.0230,0.9853/1.0134,0.9877/1.0105,0.9720/1.0235
JER_2016preVFP,lnN,1.0007/0.9994,0.9990/1.0007,0.9996/1.0009,0.9986/0.9964,1.0005/0.9994,1.0007/0.9989,1.0008/0.9992,1.0006/0.9990,0.9999/0.9972
JER_2016postvfp,lnN,1.0009/0.9990,0.9984/1.0020,0.9984/1.0004,1.0146/1.0125,1.0007/0.9980,1.0013/0.9990,1.0011/0.9989,1.0011/0.9989,1.0015/0.9991
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
