Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.988/1.0101,0.9438/1.0567,0.9507/1.0500,0.9740/1.0209,0.9559/1.407,0.9726/1.0246,0.9841/1.0144,0.9669/1.0110,0.9684/1.0275
JER_2016postvfp,lnN,1.0008/0.9990,0.9985/1.0017,0.9990/1.0002,0.9991/0.9976,1.0009/0.9987,1.0011/0.9985,1.0009/0.9990,1.0011/0.9989,1.0017/0.9993
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
