Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016preVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016preVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016postVFP,shape,1,1,1,1,1,1,1,1,1
eff_e_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016preVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016postVFP,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.975/1.021,0.921/1.061,0.9375/1.0594,0.959/1.042,0.939/1.055,0.955/1.042,0.971/1.027,0.976/1.022,0.959/1.043
JER_2016postvfp,lnN,1.0012/0.9982,0.9885/1.0029,0.9982/1.0037,1.0038/0.9992,0.9990/0.9998,1.0015/0.9979,1.0015/0.9983,1.0018/0.9984,0.9981/0.9979
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
