Uncertainty,Type,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012,1.012
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.700/1.300,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.035,1.042,-,1.026,1.03,1.028
effTrigger_mu_2016,shape,1,1,1,1,1,1,1,1,1
effTrigger_e_2016,shape,1,1,1,1,1,1,1,1,1
eff_mu_2016,shape,1,1,1,1,1,1,1,1,1
eff_e_2016,shape,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1
btag_hfstats1_2016,shape,1,1,1,1,1,1,1,1,1
btag_hfstats2_2016,shape,1,1,1,1,1,1,1,1,1
btag_lfstats1_2016,shape,1,1,1,1,1,1,1,1,1
btag_lfstats2_2016,shape,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1,1,1,1
JES,lnN,0.988/1.010,0.944/1.057,0.9508/1.0491,0.9887/1.0351,0.9561/1.0410,0.9728/1.0245,0.9840/1.0147,0.9870/1.0113,0.9670/1.0279
JER_2016,lnN,1.0009/0.9990,0.9984/1.0020,0.9984/1.0004,1.0146/1.0125,1.0007/0.9980,1.0013/0.9990,1.0011/0.9989,1.0011/0.9989,1.0015/0.9991
PDF,shape,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,shape,-,-,-,-,1,-,-,-,-
