sample,syst,bin,ratio
ttHH,nominal,5,0.8889399689738602
ttHH,nominal,6,0.8728207620737626
ttHH,nominal,7,0.8628917790249276
ttHH,nominal,8,0.8485334660192833
ttHH,nominal,9,0.838585684947003
ttHH,nominal,10,0.8183110108171585
ttHH,nominal,11,0.8061614396276822
ttHH,nominal,12,0.7717281373984752
ttHH,nominal,13,0.7356512870109605
ttHH,nominal,14,0.652774485829991
ttHH,nominal,15,1.0741121009871042
ttHH,nominal,16,0.6366609169194268
ttHH,JESup,5,0.9126478963349498
ttHH,JESup,6,0.8995428762718946
ttHH,JESup,7,0.8930791240342358
ttHH,JESup,8,0.8833185067537616
ttHH,JESup,9,0.8763395308680171
ttHH,JESup,10,0.8626415118592716
ttHH,JESup,11,0.8499745373469616
ttHH,JESup,12,0.8233990617856255
ttHH,JESup,13,0.7864682237151575
ttHH,JESup,14,0.6853010003145045
ttHH,JESup,15,0.7971157675341124
ttHH,JESup,16,0.6565491491166934
ttHH,JESdown,5,0.866943920381599
ttHH,JESdown,6,0.8471103699965642
ttHH,JESdown,7,0.8338246694712862
ttHH,JESdown,8,0.8159726396864639
ttHH,JESdown,9,0.8018257786383423
ttHH,JESdown,10,0.7829161439544771
ttHH,JESdown,11,0.7637998334880793
ttHH,JESdown,12,0.7404519879058181
ttHH,JESdown,13,0.6607465515024624
ttHH,JESdown,14,0.7283915535046326
ttHH,JESdown,15,0.8259288713644638
ttHH,JERup,5,0.8890462162390025
ttHH,JERup,6,0.8728878386514489
ttHH,JERup,7,0.8629180108140243
ttHH,JERup,8,0.8477327893750916
ttHH,JERup,9,0.8395806273991276
ttHH,JERup,10,0.8191236534534839
ttHH,JERup,11,0.8034175061494915
ttHH,JERup,12,0.7728158452718049
ttHH,JERup,13,0.7443144388131394
ttHH,JERup,14,0.6791618950564707
ttHH,JERup,15,0.8111426166006103
ttHH,JERup,16,0.6366609169194268
ttHH,JERdown,5,0.8889625259522568
ttHH,JERdown,6,0.8728702675471343
ttHH,JERdown,7,0.8624835438765239
ttHH,JERdown,8,0.8486048356966182
ttHH,JERdown,9,0.8382207643907008
ttHH,JERdown,10,0.8193460079557724
ttHH,JERdown,11,0.8039048081395783
ttHH,JERdown,12,0.7717570223333292
ttHH,JERdown,13,0.7069329612945977
ttHH,JERdown,14,0.8208908452841855
ttHH,JERdown,15,1.0972418653224059
ttHH,JERdown,16,0.63666091687824
ttSL,nominal,5,0.9489365119720545
ttSL,nominal,6,0.9383378981034977
ttSL,nominal,7,0.9175768443878303
ttSL,nominal,8,0.8927028921598411
ttSL,nominal,9,0.9050528477667104
ttSL,nominal,10,0.7670311322400858
ttSL,nominal,11,0.8230229441180786
ttSL,nominal,12,0.5595557024558434
ttSL,JESup,5,0.9693767191413856
ttSL,JESup,6,0.9630036031512796
ttSL,JESup,7,0.9460269933694344
ttSL,JESup,8,0.9286643338125404
ttSL,JESup,9,0.9319434476840259
ttSL,JESup,10,0.830750591820428
ttSL,JESup,11,0.7797555966023018
ttSL,JESup,12,0.5597515122178167
ttSL,JESdown,5,0.9286348922094868
ttSL,JESdown,6,0.9143274404715681
ttSL,JESdown,7,0.8912441198692589
ttSL,JESdown,8,0.8568538419593891
ttSL,JESdown,9,0.8607240874554701
ttSL,JESdown,10,0.7470065901127197
ttSL,JESdown,11,0.7483717242130455
ttSL,JESdown,12,0.6845193296694686
ttSL,JERup,5,0.9492374100152159
ttSL,JERup,6,0.9382375137778962
ttSL,JERup,7,0.9183254054935144
ttSL,JERup,8,0.8930230866416813
ttSL,JERup,9,0.9053517380889393
ttSL,JERup,10,0.7661404509899947
ttSL,JERup,11,0.8516018457501869
ttSL,JERup,12,0.5568189859557714
ttSL,JERdown,5,0.948425809134554
ttSL,JERdown,6,0.9381690802385152
ttSL,JERdown,7,0.9171540911556145
ttSL,JERdown,8,0.8922701559027966
ttSL,JERdown,9,0.9030675001335403
ttSL,JERdown,10,0.7709232225942634
ttSL,JERdown,11,0.7712770330811209
ttSL,JERdown,12,0.6815238186891944
ttDL,nominal,5,0.8863918330340599
ttDL,nominal,6,0.8683594612632244
ttDL,nominal,7,0.8439386617109909
ttDL,nominal,8,0.8390521246657258
