sample,nominal,JESup,JESdown,JERup,JERdown
ttHH,0.8679325559144754,0.8964705220874692,0.8409396176341377,0.8679341771259501,0.8678384740790399
ttSL,0.9437142679363517,0.9662032160573487,0.9219493461360483,0.9440139495264257,0.9432079079256901
ttDL,0.8778728363180591,0.9038423888292846,0.8544573134939776,0.8781555587697594,0.8782785361292982
ttbbSL,0.897987328674879,0.922960873989148,0.8738581167453492,0.8979116287559056,0.8979746572181101
ttbbDL,0.8532832227818666,0.8800101606683463,0.8272534188084355,0.8532989086367957,0.8532445183579772
ttZH,0.8676051748507377,0.8955335548087109,0.8414474292332861,0.867678310365612,0.8674196880751233
ttZ,0.8961160889866507,0.9207804674460636,0.8725615933241302,0.8961587938802655,0.8965638776203909
ttHSL,0.9005863266162524,0.9256636527320348,0.8768873666963031,0.9008216651590584,0.9005344533519813
ttHDL,0.8567816037871747,0.8837276567778304,0.8312505136622197,0.8568752217632638,0.8566736950165773
ttZZ,0.8700899328069408,0.8976031061028503,0.8442016308707353,0.8700521426292773,0.8700868047774353
tt4b,0.8569254501890682,0.8853892754445626,0.8291842795539326,0.8570769735164115,0.8565682502359204
