sample,syst,bin,ratio
ttHH,nominal,4,0.915957570191812
ttHH,nominal,5,0.8908641595048248
ttHH,nominal,6,0.8690546054912038
ttHH,nominal,7,0.8462124567103237
ttHH,nominal,8,0.8132321204121644
ttHH,nominal,9,0.7858296916589582
ttHH,nominal,10,0.7534887194778972
ttHH,nominal,11,0.7233422884711378
ttHH,nominal,12,0.706068609518128
ttHH,nominal,13,0.6305890917215635
ttHH,nominal,14,0.7784803983686153
ttHH,nominal,15,0.0
ttHH,nominal,16,0.7303442423926588
ttHH,uphf,4,0.9094926318428925
ttHH,uphf,5,0.8875259204862571
ttHH,uphf,6,0.8723530975463611
ttHH,uphf,7,0.8581819806349614
ttHH,uphf,8,0.8395205875782881
ttHH,uphf,9,0.8285377742708524
ttHH,uphf,10,0.8144964291501164
ttHH,uphf,11,0.7948549971831159
ttHH,uphf,12,0.7801101622409365
ttHH,uphf,13,0.773955408447222
ttHH,uphf,14,0.8672081957762323
ttHH,uphf,15,0.0
ttHH,uphf,16,0.8462689012657038
ttHH,downhf,4,0.9338660062391123
ttHH,downhf,5,0.9080051803579142
ttHH,downhf,6,0.8816740186498523
ttHH,downhf,7,0.8525306118950414
ttHH,downhf,8,0.806952319214283
ttHH,downhf,9,0.7652449769772501
ttHH,downhf,10,0.7178428634408685
ttHH,downhf,11,0.679327315581721
ttHH,downhf,12,0.6624213802124123
ttHH,downhf,13,0.5369938972330476
ttHH,downhf,14,0.7355230494121414
ttHH,downhf,15,0.0
ttHH,downhf,16,0.6606033652167747
ttHH,uplf,4,1.2167358984364904
ttHH,uplf,5,1.2522369156278643
ttHH,uplf,6,1.274778075903786
ttHH,uplf,7,1.287102336680668
ttHH,uplf,8,1.269165780105571
ttHH,uplf,9,1.2427188524971449
ttHH,uplf,10,1.2069899739567294
ttHH,uplf,11,1.1811542358975524
ttHH,uplf,12,1.1847615604813602
ttHH,uplf,13,1.0379159389945456
ttHH,uplf,14,1.200260313257073
ttHH,uplf,15,0.0
ttHH,uplf,16,0.9205562336212683
ttHH,downlf,4,0.6983064959079145
ttHH,downlf,5,0.6436412602430839
ttHH,downlf,6,0.6032101776650247
ttHH,downlf,7,0.5680935228904263
ttHH,downlf,8,0.5332459609058445
ttHH,downlf,9,0.5091164564879058
ttHH,downlf,10,0.4833445421578896
ttHH,downlf,11,0.4558164175351375
ttHH,downlf,12,0.4317526977222955
ttHH,downlf,13,0.39154988615318564
ttHH,downlf,14,0.5272279547714726
ttHH,downlf,15,0.0
ttHH,downlf,16,0.5960364683736874
ttHH,uplfstats1,4,0.9712288191092803
ttHH,uplfstats1,5,0.9608257887574225
ttHH,uplfstats1,6,0.9547424824796806
ttHH,uplfstats1,7,0.948961430228808
ttHH,uplfstats1,8,0.932961504917833
ttHH,uplfstats1,9,0.9243851716369145
ttHH,uplfstats1,10,0.9099072712557893
ttHH,uplfstats1,11,0.8962624554156323
ttHH,uplfstats1,12,0.8984213164271089
ttHH,uplfstats1,13,0.8338811029534553
ttHH,uplfstats1,14,1.0125916959789085
ttHH,uplfstats1,15,0.0
ttHH,uplfstats1,16,1.0163914323054495
ttHH,downlfstats1,4,0.8643811448756423
ttHH,downlfstats1,5,0.8266190892037774
ttHH,downlfstats1,6,0.7917314822501316
ttHH,downlfstats1,7,0.7553581729574891
ttHH,downlfstats1,8,0.7096007930226643
ttHH,downlfstats1,9,0.6687673354539383
