sample,nominal,JESup,JESdown,JERup,JERdown
ttHH,0.8522068010168333,0.8681178145737073,0.8357900208556691,0.8520682931200478,0.8524149405166035
ttSL,0.8647258388764302,0.874402111365951,0.8553832035938468,0.8646132844459764,0.8650877442550428
ttDL,0.7914150895433895,0.8031973179058572,0.7805811555141446,0.7909684015788573,0.7920344954631633
ttbbSL,0.8541642579838473,0.866545469227229,0.8410803493618207,0.8539069481919551,0.8542270422720268
ttbbDL,0.8016444326755441,0.8154154617881505,0.7876472190186087,0.8010383007684547,0.8020569704210336
ttZH,0.8539394791350786,0.869685494289274,0.8376589322422457,0.8538332007743951,0.8541485593538184
ttZ,0.8606681949932627,0.8737310204447837,0.8473104629491922,0.86014550239394,0.8607242030997432
ttHSL,0.8637995894707344,0.8764767362640771,0.850695262834455,0.8636316456960424,0.8639887757779113
ttHDL,0.8150326960703496,0.8296972005036432,0.8000010384157896,0.8148276141378633,0.815259010072478
ttZZ,0.8591306446341948,0.874759395096923,0.8429840087758129,0.8588998553062155,0.8592391763485386
tt4b,0.8414765670785895,0.8581623332021803,0.8242836495698879,0.8411577842735062,0.8415165082176067
