sample,syst,bin,ratio
ttHH,nominal,5,0.81687396603381
ttHH,nominal,6,0.7875879033718542
ttHH,nominal,7,0.7599555069592681
ttHH,nominal,8,0.7357579215509488
ttHH,nominal,9,0.7035659428163537
ttHH,nominal,10,0.6857728351774641
ttHH,nominal,11,0.6529881424378363
ttHH,nominal,12,0.6072947783341293
ttHH,nominal,13,0.6883981740891696
ttHH,nominal,14,0.5580903449774254
ttHH,nominal,15,1.2861214362444546
ttHH,JESup,5,0.8597404575102431
ttHH,JESup,6,0.8365579279383013
ttHH,JESup,7,0.8133960933659639
ttHH,JESup,8,0.7925236963442921
ttHH,JESup,9,0.7649127202540478
ttHH,JESup,10,0.7498416935606627
ttHH,JESup,11,0.7153991357845928
ttHH,JESup,12,0.6801555067412596
ttHH,JESup,13,0.70436699111428
ttHH,JESup,14,0.7029326719921547
ttHH,JESup,15,0.7919537733738228
ttHH,JESdown,5,0.7810146801646539
ttHH,JESdown,6,0.7462948313166411
ttHH,JESdown,7,0.7148647331451448
ttHH,JESdown,8,0.6881391603685745
ttHH,JESdown,9,0.6543683072839047
ttHH,JESdown,10,0.6343506812204105
ttHH,JESdown,11,0.5989909242917867
ttHH,JESdown,12,0.552392307962902
ttHH,JESdown,13,0.6188259207572897
ttHH,JESdown,14,0.5893963488879815
ttHH,JERup,5,0.816843076059342
ttHH,JERup,6,0.7877050333493884
ttHH,JERup,7,0.7595107677997376
ttHH,JERup,8,0.7361270094686981
ttHH,JERup,9,0.7012208087339756
ttHH,JERup,10,0.6860938667847951
ttHH,JERup,11,0.6537107789353666
ttHH,JERup,12,0.6097828080887711
ttHH,JERup,13,0.6625874363119862
ttHH,JERup,14,0.5503451669211158
ttHH,JERup,15,1.2861214362570255
ttHH,JERdown,5,0.8175535742610451
ttHH,JERdown,6,0.7872883365046602
ttHH,JERdown,7,0.7602556987782596
ttHH,JERdown,8,0.7354253017171557
ttHH,JERdown,9,0.70440494828802
ttHH,JERdown,10,0.6854263737837265
ttHH,JERdown,11,0.653863503314424
ttHH,JERdown,12,0.598837469768111
ttHH,JERdown,13,0.6827732400258967
ttHH,JERdown,14,0.5701112952790754
ttHH,JERdown,15,1.2861214362570255
ttSL,nominal,0,1.0
ttSL,nominal,1,0.9668950900542992
ttSL,nominal,2,0.9424871495458812
ttSL,nominal,3,0.9182545644040574
ttSL,nominal,4,0.8947390392518468
ttSL,nominal,5,0.8653327070520194
ttSL,nominal,6,0.8318357058088431
ttSL,nominal,7,0.802342755105601
ttSL,nominal,8,0.754602915703695
ttSL,nominal,9,0.715351371521466
ttSL,nominal,10,0.6906102606957515
ttSL,nominal,11,0.6363094703664287
ttSL,nominal,12,0.4084329269960792
ttSL,nominal,13,0.413244064626546
ttSL,nominal,14,0.5277637724190275
ttSL,JESup,0,1.0
ttSL,JESup,1,0.9753140375146682
ttSL,JESup,2,0.9584120183946763
ttSL,JESup,3,0.9415122119880672
ttSL,JESup,4,0.9242280403534129
ttSL,JESup,5,0.8999917072378304
ttSL,JESup,6,0.8715706246121812
ttSL,JESup,7,0.8469821696043124
ttSL,JESup,8,0.8089587418141512
ttSL,JESup,9,0.7590899281290006
ttSL,JESup,10,0.7935855112214378
ttSL,JESup,11,0.7439835268575364
ttSL,JESup,12,0.4700697144301828
ttSL,JESup,13,0.46385408505630943
ttSL,JESup,14,0.5477584830136087
ttSL,JESdown,0,1.0
ttSL,JESdown,1,0.9598857804003619
ttSL,JESdown,2,0.9285275646878915
ttSL,JESdown,3,0.8981887769105136
ttSL,JESdown,4,0.86934173741647
ttSL,JESdown,5,0.8360811143639949
ttSL,JESdown,6,0.8000421307888949
ttSL,JESdown,7,0.7655594792055328
ttSL,JESdown,8,0.7173116853129681
ttSL,JESdown,9,0.6697918130247486
ttSL,JESdown,10,0.6489903508272769
ttSL,JESdown,11,0.6741499484979924
ttSL,JESdown,12,0.30945413261347066
ttSL,JESdown,13,0.3840342204139786
ttSL,JESdown,14,0.6107043178444638
ttSL,JERup,0,1.0
ttSL,JERup,1,0.966992356777444
ttSL,JERup,2,0.9424098020821197
ttSL,JERup,3,0.9182756215460949
ttSL,JERup,4,0.894459546512629
ttSL,JERup,5,0.8645675960558551
ttSL,JERup,6,0.8318425268881481
ttSL,JERup,7,0.8016491453178558
ttSL,JERup,8,0.7541157210345603
ttSL,JERup,9,0.7198495016576405
ttSL,JERup,10,0.6844670572590457
ttSL,JERup,11,0.6241711416762018
ttSL,JERup,12,0.4084884821766821
ttSL,JERup,13,0.4132440646083535
ttSL,JERup,14,0.5376666335498888
ttSL,JERdown,0,1.0
ttSL,JERdown,1,0.9668923695289935
ttSL,JERdown,2,0.942491522601838
ttSL,JERdown,3,0.9182355418684556
ttSL,JERdown,4,0.895029186451777
ttSL,JERdown,5,0.8652620774743958
ttSL,JERdown,6,0.8331068949234581
ttSL,JERdown,7,0.8022404810634952
ttSL,JERdown,8,0.7543528539976281
ttSL,JERdown,9,0.7150922462345559
ttSL,JERdown,10,0.7129823648263401
ttSL,JERdown,11,0.6764155280004375
ttSL,JERdown,12,0.3363759450380706
ttSL,JERdown,13,0.4132440646115101
ttSL,JERdown,14,0.5277637724299701
ttDL,nominal,0,1.0
ttDL,nominal,1,0.9539718825798814
ttDL,nominal,2,0.9043967620815475
ttDL,nominal,3,0.8504833219386733
ttDL,nominal,4,0.814193695690262
ttDL,nominal,5,0.7806054943704053
ttDL,nominal,6,0.7466555769300672
ttDL,nominal,7,0.7138615808761204
ttDL,nominal,8,0.6806369289181537
ttDL,nominal,9,0.6256300537564181
ttDL,nominal,10,0.6241961852578474
ttDL,nominal,11,0.7087819141250783
ttDL,nominal,12,0.46565006263802705
ttDL,nominal,13,0.7025462558712939
ttDL,JESup,0,1.0
ttDL,JESup,1,0.9651999218255383
ttDL,JESup,2,0.9255824801732946
ttDL,JESup,3,0.8790818384968233
ttDL,JESup,4,0.8479713111025649
ttDL,JESup,5,0.8180012842123877
ttDL,JESup,6,0.7892412771491453
ttDL,JESup,7,0.7612213390765171
ttDL,JESup,8,0.7312966992879737
ttDL,JESup,9,0.6855270215271014
ttDL,JESup,10,0.6683728670759143
ttDL,JESup,11,0.7659219235806808
ttDL,JESup,12,0.4544768282260115
ttDL,JESup,13,0.8410835888442778
ttDL,JESdown,0,1.0
ttDL,JESdown,1,0.9436128453634534
ttDL,JESdown,2,0.8852761899260038
ttDL,JESdown,3,0.8251329203704051
ttDL,JESdown,4,0.7851208016837442
ttDL,JESdown,5,0.7475596981174332
ttDL,JESdown,6,0.7122618217087986
ttDL,JESdown,7,0.6729683843054581
ttDL,JESdown,8,0.6435794677445192
ttDL,JESdown,9,0.604557641625777
ttDL,JESdown,10,0.5728427347413475
ttDL,JESdown,11,0.6734175829737027
ttDL,JESdown,12,0.44152084348092246
ttDL,JESdown,13,0.6738566146093609
ttDL,JERup,0,1.0
ttDL,JERup,1,0.9538871164581157
ttDL,JERup,2,0.904147202911933
ttDL,JERup,3,0.849997838742329
ttDL,JERup,4,0.8135952599224504
ttDL,JERup,5,0.7794148017582521
ttDL,JERup,6,0.7459880973626131
ttDL,JERup,7,0.7124603285908928
ttDL,JERup,8,0.6785478867581555
ttDL,JERup,9,0.6328144488491138
ttDL,JERup,10,0.6301814455568716
ttDL,JERup,11,0.6815357098662064
ttDL,JERup,12,0.46565006263802705
ttDL,JERup,13,0.7025462558712939
ttDL,JERdown,0,1.0
ttDL,JERdown,1,0.9540389224951851
ttDL,JERdown,2,0.904667338524833
ttDL,JERdown,3,0.8509187995633404
ttDL,JERdown,4,0.8148166256399024
ttDL,JERdown,5,0.7815819034268151
ttDL,JERdown,6,0.7457753805892305
ttDL,JERdown,7,0.7177997410307183
ttDL,JERdown,8,0.679611332127595
ttDL,JERdown,9,0.6321042044038033
ttDL,JERdown,10,0.6359543964239068
ttDL,JERdown,11,0.7021242442783036
ttDL,JERdown,12,0.46565006265549924
ttDL,JERdown,13,0.7025462557558164
ttbbSL,nominal,5,0.8396400340030401
ttbbSL,nominal,6,0.8045171793606233
ttbbSL,nominal,7,0.7729645432358088
ttbbSL,nominal,8,0.7361478944133701
ttbbSL,nominal,9,0.7009497175346456
ttbbSL,nominal,10,0.6694689058697266
ttbbSL,nominal,11,0.6296758261487583
ttbbSL,nominal,12,0.6374725508586355
ttbbSL,nominal,13,0.6533458533694216
ttbbSL,nominal,14,0.47193164558151474
ttbbSL,nominal,15,0.40078816683947666
ttbbSL,JESup,5,0.8691776848472611
ttbbSL,JESup,6,0.8413671735428109
ttbbSL,JESup,7,0.8147538227845159
ttbbSL,JESup,8,0.7856506576667328
ttbbSL,JESup,9,0.7510450588513354
ttbbSL,JESup,10,0.735455661298474
ttbbSL,JESup,11,0.6925155212888506
ttbbSL,JESup,12,0.7657025196057271
ttbbSL,JESup,13,0.6457599607193836
ttbbSL,JESup,14,0.0
ttbbSL,JESup,15,0.41944474636459655
ttbbSL,JESdown,5,0.7962536455050533
ttbbSL,JESdown,6,0.7601816240805473
ttbbSL,JESdown,7,0.7307282004652355
ttbbSL,JESdown,8,0.6902590926852591
ttbbSL,JESdown,9,0.6597943217414394
ttbbSL,JESdown,10,0.625818847365042
ttbbSL,JESdown,11,0.6230318854867732
ttbbSL,JESdown,12,0.5882331617066725
ttbbSL,JESdown,13,0.7570156858248351
ttbbSL,JESdown,14,0.0
ttbbSL,JESdown,15,0.3462324712061783
ttbbSL,JERup,5,0.8291860950970312
ttbbSL,JERup,6,0.7963424311331042
ttbbSL,JERup,7,0.7681479238135296
ttbbSL,JERup,8,0.7332782331283115
ttbbSL,JERup,9,0.6995498601857514
ttbbSL,JERup,10,0.6780534566896245
ttbbSL,JERup,11,0.6310506487799117
ttbbSL,JERup,12,0.6692502049229329
ttbbSL,JERup,13,0.620853668822233
ttbbSL,JERup,14,0.0
ttbbSL,JERup,15,0.4007881668386985
ttbbSL,JERdown,5,0.8292891672693256
ttbbSL,JERdown,6,0.7965393192637531
ttbbSL,JERdown,7,0.7699082690243243
ttbbSL,JERdown,8,0.7326110303443575
ttbbSL,JERdown,9,0.7039539606734867
ttbbSL,JERdown,10,0.6866841548083742
ttbbSL,JERdown,11,0.632825801077886
ttbbSL,JERdown,12,0.6620573737115412
ttbbSL,JERdown,13,0.5909251033652222
ttbbSL,JERdown,14,0.0
ttbbSL,JERdown,15,0.3997100775078235
ttbbDL,nominal,5,0.7689974325315556
ttbbDL,nominal,6,0.7362387524484524
ttbbDL,nominal,7,0.695898495359615
ttbbDL,nominal,8,0.6653531698400328
ttbbDL,nominal,9,0.6292656100599262
ttbbDL,nominal,10,0.6172447914190553
ttbbDL,nominal,11,0.49730120413428014
ttbbDL,nominal,12,0.4856202082669422
ttbbDL,nominal,13,0.6236409533058159
ttbbDL,nominal,14,0.0
ttbbDL,nominal,15,0.8026955132761535
ttbbDL,JESup,5,0.8066534942703345
ttbbDL,JESup,6,0.7799789891155299
ttbbDL,JESup,7,0.7446874344269604
ttbbDL,JESup,8,0.7172468434549482
ttbbDL,JESup,9,0.6878159891202439
ttbbDL,JESup,10,0.6576975687327046
ttbbDL,JESup,11,0.5325470740212356
ttbbDL,JESup,12,0.619663027693134
ttbbDL,JESup,13,0.6989984541344535
ttbbDL,JESup,14,0.0
ttbbDL,JESup,15,0.8508531966970353
ttbbDL,JESdown,5,0.7307572324599999
ttbbDL,JESdown,6,0.6961246688271989
ttbbDL,JESdown,7,0.6558950950902168
ttbbDL,JESdown,8,0.6206248603437041
ttbbDL,JESdown,9,0.5763623369303995
ttbbDL,JESdown,10,0.5656629398062947
ttbbDL,JESdown,11,0.4685038117198892
ttbbDL,JESdown,12,0.41533057103285415
ttbbDL,JESdown,13,0.5771767304016876
ttbbDL,JESdown,14,0.0
ttbbDL,JESdown,15,0.7510305693737945
ttbbDL,JERup,5,0.7652607942044061
