sample,nominal,JESup,JESdown,JERup,JERdown
ttHH,0.7717025185017538,0.8214653279042154,0.7305949922356643,0.7714726005030453,0.7718534610715638
ttSL,0.8514324553806891,0.8881229758634515,0.821416600913082,0.8509163539204909,0.8518500578926799
ttDL,0.7681184166002567,0.806953477397464,0.7350077273353817,0.7669446075843696,0.7688332312594554
ttbbSL,0.8037352005935146,0.8462747422911024,0.7693050503758959,0.8035901759036993,0.8041432878867215
ttbbDL,0.743908132229508,0.7872058438844354,0.7075832487340193,0.7433738231699784,0.7447950816709874
ttZH,0.7723505523901621,0.8217877939540961,0.731505841346584,0.772121231633973,0.7725047233174418
ttZ,0.8027830561797055,0.846149171156385,0.7675855285091614,0.8024648379580102,0.8032107271043173
ttHSL,0.8111161257839339,0.8545046260831067,0.7752397345444815,0.8108887661672466,0.811365018957227
ttHDL,0.7558307932177405,0.8007466761400992,0.7181018307737781,0.7553586708507469,0.7561767526763916
ttZZ,0.779113942392222,0.8276150279776597,0.7386852438142869,0.7788424636792831,0.7792984820944704
tt4b,0.7557573899116199,0.8054451352029481,0.7150177434882014,0.7554937378734655,0.7561152322163462
