sample,variation,fiducial_xs_norm,inclusive_xs_norm,ratio_ttB_varied_vs_nom_5FS,ratio_ttC_varied_vs_nom_5FS,ratio_ttLF_varied_vs_nom_5FS,ratio_ttB_5FS_vs_this_varied,final_weight_sl_analysis
ttbbSL,Weight_scale_variation_muR_1p0_muF_1p0,0.999986171,0.999986197,1,1,1,0.043045767,0.999986171
ttbbSL,Weight_scale_variation_muR_2p0_muF_1p0,1.385204226,1.392131358,0.987570168,0.992625599,1.000939164,0.042299237,1.367986371
ttbbSL,Weight_scale_variation_muR_2p0_muF_2p0,1.444988466,1.447281348,0.984540675,0.989368355,1.001292183,0.042313201,1.422649921
ttbbSL,Weight_scale_variation_muR_0p5_muF_1p0,0.745790365,0.759014329,1.017642342,1.010501355,0.998667852,0.043041996,0.758947853
ttbbSL,Weight_scale_variation_muR_0p5_muF_0p5,0.74595007,0.768719293,1.024547804,1.016051699,0.998022871,0.042796184,0.764261506
ttbbSL,Weight_scale_variation_muR_1p0_muF_2p0,1.025716334,1.02030118,0.995411209,0.996039191,1.00045293,0.04307566,1.021009536
ttbbSL,Weight_scale_variation_muR_1p0_muF_0p5,0.966500349,0.971387021,1.004499688,1.004351678,0.999518207,0.043021976,0.970849299
ttbbSL,Weight_LHA_320900_nominal,0.999699665,0.999725553,-1,-1,-1,-1,0.999699665
ttbbSL,Weight_LHA_320900_up,0.971694271,0.969692296,-1,-1,-1,-1,0.971694271
ttbbSL,Weight_LHA_320900_down,1.029367264,1.031678648,-1,-1,-1,-1,1.029367264
ttbbSL,Weight_pdf_variation_320900,0.999986201,0.999987037,-1,-1,-1,-1,0.999986201
ttbbSL,Weight_pdf_variation_320901,0.984290879,0.985329734,-1,-1,-1,-1,0.984290879
ttbbSL,Weight_pdf_variation_320902,1.011676833,1.011280801,-1,-1,-1,-1,1.011676833
ttbbSL,Weight_pdf_variation_320903,0.998019336,0.997819462,-1,-1,-1,-1,0.998019336
ttbbSL,Weight_pdf_variation_320904,0.988394763,0.988427221,-1,-1,-1,-1,0.988394763
ttbbSL,Weight_pdf_variation_320905,1.00408577,1.005068768,-1,-1,-1,-1,1.00408577
ttbbSL,Weight_pdf_variation_320906,0.970993655,0.971269527,-1,-1,-1,-1,0.970993655
ttbbSL,Weight_pdf_variation_320907,1.010363146,1.010039236,-1,-1,-1,-1,1.010363146
ttbbSL,Weight_pdf_variation_320908,1.014868261,1.014090415,-1,-1,-1,-1,1.014868261
ttbbSL,Weight_pdf_variation_320909,1.00379139,1.002881322,-1,-1,-1,-1,1.00379139
ttbbSL,Weight_pdf_variation_320910,0.967893715,0.967678859,-1,-1,-1,-1,0.967893715
ttbbSL,Weight_pdf_variation_320911,0.99726356,0.997906656,-1,-1,-1,-1,0.99726356
ttbbSL,Weight_pdf_variation_320912,0.988291952,0.988794959,-1,-1,-1,-1,0.988291952
ttbbSL,Weight_pdf_variation_320913,1.010962443,1.010913434,-1,-1,-1,-1,1.010962443
ttbbSL,Weight_pdf_variation_320914,0.998831831,0.999685917,-1,-1,-1,-1,0.998831831
ttbbSL,Weight_pdf_variation_320915,1.025957044,1.025349526,-1,-1,-1,-1,1.025957044
ttbbSL,Weight_pdf_variation_320916,1.001786982,1.000937971,-1,-1,-1,-1,1.001786982
ttbbSL,Weight_pdf_variation_320917,0.989705553,0.989877607,-1,-1,-1,-1,0.989705553
ttbbSL,Weight_pdf_variation_320918,1.008128292,1.008626903,-1,-1,-1,-1,1.008128292
ttbbSL,Weight_pdf_variation_320919,1.027420005,1.027757678,-1,-1,-1,-1,1.027420005
ttbbSL,Weight_pdf_variation_320920,1.020823927,1.020918988,-1,-1,-1,-1,1.020823927
ttbbSL,Weight_pdf_variation_320921,1.013026054,1.012530616,-1,-1,-1,-1,1.013026054
ttbbSL,Weight_pdf_variation_320922,1.029261908,1.028728519,-1,-1,-1,-1,1.029261908
ttbbSL,Weight_pdf_variation_320923,1.024719321,1.024951759,-1,-1,-1,-1,1.024719321
ttbbSL,Weight_pdf_variation_320924,1.000293767,1.000483501,-1,-1,-1,-1,1.000293767
ttbbSL,Weight_pdf_variation_320925,1.014863309,1.014602272,-1,-1,-1,-1,1.014863309
ttbbSL,Weight_pdf_variation_320926,1.010992437,1.009409879,-1,-1,-1,-1,1.010992437
ttbbSL,Weight_pdf_variation_320927,0.998673574,0.997019748,-1,-1,-1,-1,0.998673574
ttbbSL,Weight_pdf_variation_320928,1.003581133,1.003465441,-1,-1,-1,-1,1.003581133
ttbbSL,Weight_pdf_variation_320929,0.992863729,0.992874276,-1,-1,-1,-1,0.992863729
ttbbSL,Weight_pdf_variation_320930,0.988836893,0.988127459,-1,-1,-1,-1,0.988836893
ttbbSL,Weight_pdf_variation_320931,0.991379457,0.991173212,-1,-1,-1,-1,0.991379457
ttbbSL,Weight_pdf_variation_320932,0.996969892,0.998368471,-1,-1,-1,-1,0.996969892
ttbbSL,Weight_pdf_variation_320933,1.00905136,1.009448077,-1,-1,-1,-1,1.00905136
ttbbSL,Weight_pdf_variation_320934,0.983526033,0.984747641,-1,-1,-1,-1,0.983526033
ttbbSL,Weight_pdf_variation_320935,1.00458306,1.003667898,-1,-1,-1,-1,1.00458306
ttbbSL,Weight_pdf_variation_320936,0.998318714,0.998414264,-1,-1,-1,-1,0.998318714
ttbbSL,Weight_pdf_variation_320937,1.01631614,1.015703462,-1,-1,-1,-1,1.01631614
ttbbSL,Weight_pdf_variation_320938,0.994271172,0.993302874,-1,-1,-1,-1,0.994271172
ttbbSL,Weight_pdf_variation_320939,0.994709218,0.993420809,-1,-1,-1,-1,0.994709218
ttbbSL,Weight_pdf_variation_320940,0.995908229,0.995242836,-1,-1,-1,-1,0.995908229
ttbbSL,Weight_pdf_variation_320941,0.994652691,0.993493864,-1,-1,-1,-1,0.994652691
ttbbSL,Weight_pdf_variation_320942,0.98158412,0.982066572,-1,-1,-1,-1,0.98158412
ttbbSL,Weight_pdf_variation_320943,0.98813491,0.988498984,-1,-1,-1,-1,0.98813491
